Vietnam,48192,893.9
Djibouti,3355,1483.96
Liberia,486,738.46
Colombia,31365,796.58
Germany,34933,487.25
Bulgaria,27371,227.83
Mongolia,26419,118.32
Iceland,36116,1975.35
Kuwait,32449,648.86
Vanuatu,35469,368.24
Israel,37068,1215.69
Vietnam,44606,1131.3
Aruba,40529,1880.12
Australia,34025,1370.07
Uruguay,1230,1153.92
Israel,42470,110.3
Barbados,39268,1575.61
Bulgaria,10382,1487.08
Slovakia,38895,711.74
Burkina,10218,1913.74
Oman,17973,237.61
Colombia,15607,28.67
Eswatini,3090,691.38
Cuba,42017,1289.75
Vanuatu,19481,1216.52
Iceland,2002,1728.05
Kosovo,11569,1144.2
Canada,3034,1637.28
Nepal,47398,1252.59
Azerbaijan,8499,1151.91
Italy,37870,117.4
Burkina,31391,1484.06
Bulgaria,43401,994.46
Oman,49047,1499.19
Russian Federation,29611,1820.23
India,13232,1368.4
Algeria,33133,1895.28
Spain,48577,1314.43
Canada,12508,1033.21
Algeria,21089,306.12
Canada,13477,885.84
Benin,44236,215.37
Gambia,21013,1240.98
Iraq,26597,1861.4
Kosovo,3044,828.39
Cuba,41518,1945.64
Kosovo,37545,787.97
Djibouti,23612,1066.18
Canada,47308,1773.61
Kuwait,36694,12.86
France,24643,1231.91
Trinidad & Tobago,25767,86.06
Israel,29352,1322.13
Myanmar,40095,1005.06
Barbados,14626,1132.06
Ukraine,11552,509.82
Mongolia,11279,1214.05
Armenia,38706,1832.25
Barbados,43190,715.34
Oman,6748,475.32
Burkina,33457,883.87
Gambia,11669,1779.03
Vanuatu,8453,1743.89
Cuba,40798,230.14
Japan,13776,1948.93
Spain,692,153.17
Vietnam,44707,1874.81
Ukraine,13920,866.37
Ethiopia,623,237.01
Vanuatu,21923,419.37
Japan,34693,137.78
Italy,21748,1808.97
Germany,10730,1512.02
Canada,11712,863.75
Burkina,24936,147.08
Burkina,46639,1829.22
India,40328,616.39
Costa Rica,44324,664.48
Marshall Islands,20874,1843.81
Djibouti,15366,1793.74
India,46359,345.73
Taiwan,19671,771.41
Eswatini,16897,291.84
Nepal,40446,1467.09
Yemen,28713,361.25
Bahamas,46401,621.24
Afghanistan,32061,847.12
Algeria,9690,486.18
Eswatini,28835,1766.93
Mongolia,43980,1238.06
Albania,2545,1694.88
Eswatini,16461,1445.19
Antigua & Deps,21070,160.08
Iceland,26481,1327.58
Canada,15402,757.54
Burkina,17506,745.89
Yemen,22271,522.39
Bahamas,45047,1103.25
Vietnam,20958,1550.06
Iraq,12090,1743.62
India,26261,1253.43
Barbados,31773,231.44
Armenia,32718,1712.29
Oman,4136,594.39
Nepal,49194,668.19
Oman,24884,309.61
Spain,18935,1363.11
Liberia,731,595.69
Albania,27472,1678.71
Ukraine,31477,954.49
Aruba,42768,322.93
Cuba,24323,688.57
